hour,age,minigame,num_screens,location,VerifyPhone,BankVerification,VerifyDateOfBirth,VerifyCountry,Cycle,idscreen,Alerts,VerifyMobile,ProfileMaritalStatus,ProfileEducationMajor,ProfileJobTitle,WebView,TransactionList,lainnya,jumlah_credit
1,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
17,27,0,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,4
17,32,0,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0
22,19,0,17,1,0,0,1,0,1,1,1,1,0,0,0,0,0,4,3
18,33,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
5,33,0,25,1,1,0,1,1,0,0,0,0,0,0,0,0,0,9,0
15,49,0,14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,0
3,18,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2
17,33,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
5,18,0,17,1,1,1,1,1,0,0,0,1,0,0,0,1,0,8,1
11,37,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
13,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
19,39,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0
11,38,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
3,40,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,45,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19,22,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
16,26,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
15,23,0,19,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9,2
